name,Longitude,Latitude
Coal Harbour Park,-123.12537005471899,49.28997735565045
David Lam Park - South west of playgrounds,-123.12327408831909,49.27249998987751
Emery Barnes Park - Dog off-leash area,-123.12378107952713,49.277097085980934
Fraser River Park - park entrance by Angus Dr,-123.14932242480502,49.20723462029865
Kitsilano Beach Park - North of parking lot,-123.15172825900372,49.276845069596696
Kitsilano Beach Park - washroom wall,-123.15380496982891,49.27448261571296
Melbourne Park,-123.02909158487584,49.2365292742264
Park Site On South East False Creek,-123.10941362001645,49.27234240595487
Quilchena Park,-123.1488133244043,49.24472539986782
Riverfront Park - East of washrooms,-123.05180181298957,49.20585962877704
Ross Park,-123.08241897664004,49.21691584630587
Seawall - Creekside,-123.10573882205857,49.27218289136859
Slocan Greenway,-123.0497356630516,49.25835999543246
Slocan Park,-123.04835768589251,49.24439943119382
Spanish Banks Beach Park,-123.2223817077116,49.27759005971061
Stanley Park - Lumbermen's Arch,-123.1306800546251,49.30310662903523
Stanley Park - Second Beach,-123.15001256396323,49.294985445746754
Stanley Park - Second Beach Pool,-123.15104120435711,49.295573663121964
Stanley Park - West of Shore to Shore sculpture,-123.1206750891925,49.29905793154208
Sunset Beach,-123.1380051652894,49.27900212016302
Nelson Park,-123.129159,49.281931
Robson & Cardero,-123.132493,49.289447
West Blvd & W 45th,-123.155629,49.230778
37th & Oak,-123.127384,49.237587
37th & Ontario,-123.105647,49.237446
37th & Prince Edward,-123.09728295,49.2371952
Ashburn & Elliot,-123.055044,49.2187548
Denman & Nelson,-123.13854854,49.28922483
Elgin & 37th,-123.084037,49.2365274
Granville & 59th,-123.139586,49.2173117
Hastings & Gore,-123.097231,49.281386
Robson & Chilco,-123.13827002,49.29345716
10th & Kingsway,-123.098912,49.261984
Davie & Bute (Jim Deva Plaza),-123.133952,49.281882
Point Grey Road & Waterloo,-123.179475,49.271936
Pt.Grey & MacDonald,-123.167863,49.271674
2067 W 15th Ave,-123.152452,49.25823
London Drugs,-123.118113,49.282333
15 E Hastings,-123.104022,49.281473
E Hastings & Columbia,-123.102144,49.281547
The Gathering Place,-123.123678,49.277664
Balaclava Park,-123.17532748987207,49.24571941099743
Cedar Cottage Park,-123.07677246160404,49.260897510427014
China Creek South Park,-123.0790458346744,49.26174978155622
Coopers' Park,-123.11304201854614,49.27391462297168
"Coopers' Park - underneath bridge, near basket",-123.11463403132457,49.2729040014691
Creekside Park,-123.10299407627441,49.27436956341148
English Bay Beach Park - Davie st entrance,-123.14255817215084,49.28752529728865
George Wainborn Park,-123.12977813047853,49.271907974746064
Harbour Green Park - foot of Jervis Mews,-123.12316503926135,49.29064536983438
Langara Golf Course - East of tennis courts,-123.10632012065498,49.21951059074085
Mosaic Creek Park,-123.0742017723588,49.27329802539632
Stanley Park - Ceperley Washrooms,-123.14870677517186,49.293751732669826
Stanley Park - Legends Of The Moon Washroom,-123.12128509247478,49.299634364378655
Victory Square,-123.11005097846787,49.2819511927667
Columbia & Powell,-123.102033,49.283301
Granville Island Pumping Station,-123.136177,49.269566
56th & Ontario,-123.106415,49.219505
Broadway & Victoria,-123.065619,49.262066
Comox & Cardero,-123.136516,49.2867384
Comox & Chilco,-123.14264686,49.29067407
Comox & Denman,-123.13969,49.2887857
Granville & Robson,-123.119937,49.281542
11th & Prince Edward,-123.09634,49.261036
2001 W 10th Avenue,-123.152238,49.262911
375 W 59th Avenue,-123.11323,49.217003
8683 Kerr,-123.042394,49.20577
Alexandra Park,-123.14237717569814,49.28566025871612
CRAB Park at Portside,-123.10180591766984,49.28475995490833
Charleson Park,-123.12588611678844,49.26811789687622
David Lam Park - South west of basketball courts,-123.12570510564845,49.2717379729765
Devonian Harbour Park,-123.13598610995344,49.295091459181194
Emery Barnes Park - South west of playground,-123.12426708261285,49.27664197562022
English Bay Beach Park - West of bath-house,-123.14302017755426,49.28613326803492
English Bay Beach Park - concessions,-123.13792016443693,49.27900682012942
Fraser River Park - South west,-123.15079343698349,49.206524604715234
Harbour Green Park - In front of washrooms,-123.12167903062401,49.29010735949297
Harbour Green Park - Viewpoint,-123.1232550375787,49.291334384434094
Hastings Park -Plateau Sport Parks / Empire Fields,-123.03337505588075,49.28381447906172
Jericho Beach Park,-123.19172152670885,49.27201435405524
Jonathan Rogers Park,-123.10749900955489,49.26426982320041
Killarney Park - E 45th Ave. @ Killarney St.,-123.04532770779115,49.22930011794244
Kitsilano Beach Park - South of playground,-123.153186687643,49.27478748031104
Locarno Beach Park,-123.20714961781954,49.27507501211316
Morton Park,-123.14224916999193,49.287535297882734
Nelson Park,-123.12996610354612,49.28294420590987
Oak Park - East of fieldhouse,-123.12814026541413,49.21698683039526
Oak Park - East of spray park,-123.12737226202022,49.216689824099134
Oak Park - North west of field hockey,-123.12910727287776,49.21671182405714
Park Site On South East False Creek - Hinge,-123.11019100783243,49.27115666646443
Pioneer Place (Pigeon Park),-123.10448994330177,49.281769090820944
Queen Elizabeth Park - 37th and Ontario,-123.10560606822328,49.23752526603095
Riley Park,-123.10479228037154,49.2426880999357
Riverfront Park - West of tennis courts,-123.05096580744122,49.205843628445386
Ross Park,-123.08261997732612,49.21705184897251
Stanley Park - Prospect Point Lookout,-123.1424377015813,49.313489270665016
Stanley Park - Third Beach Seawall,-123.15632021825063,49.30326262273198
Vanier Park (Burrard Civic Marina),-123.13975418570803,49.27521804024948
W.C. Shelly Park,-123.07309279284456,49.26315381297962
West Point Grey Park - North of wading pool,-123.20524762794798,49.266126826024426
Granville St Pumping Station,-123.131579,49.2733345
39th & Nanaimo,-123.058912,49.234752
7th & Yukon,-123.112967,49.2646599
Broadway & Ontario,-123.105026,49.262875
Burrard & Davie,-123.12923210062,49.2792475453812
Gilford & Comox,-123.14128655,49.28977703
Ormidale St & Vanness Avenue,-123.024717,49.234702
Nelson & Howe,-123.123513,49.279672
Main & E Hastings,-123.099907,49.281431
Powell & Gore,-123.097852,49.283263
384 Main,-123.097359,49.281754
